code,uri,label,definition
AU SAD,NA,Maryborough,NA
AU KLL,NA,Maryknoll,NA
AU MEL,NA,Melbourne,NA
AU MRS,NA,Melrose,NA
AU MLI,NA,Melville Island,NA
AU MID,NA,Midland,NA
AU MIB,NA,Milner Bay,NA
AU MIL,NA,Milperra,NA
AU MON,NA,Montara Field,NA
AU MLL,NA,Mooloolaba,NA
AU MOK,NA,Moorook,NA
AU MDC,NA,Mordialloc,NA
AU MGE,NA,Mount Gravatt,NA
AU MHW,NA,Mount Hawthorn,NA
AU MOU,NA,Mourilyan,NA
AU MOW,NA,Mowbray Heights,NA
AU MWA,NA,Mulwala,NA
AU NEQ,NA,Nericon,NA
AU NLK,NA,New Norfolk,NA
AU NTL,NA,Newcastle,NA
AU VIC,NA,Newtown,NA
AU NGH,NA,Nganhurra,NA
AU NHU,NA,Nhulunbuy,NA
AU NIV,NA,Ningaloo Vision,NA
AU NB2,NA,North Bridge,NA
AU NTE,NA,Northern Endeavour,NA
AU OKF,NA,Oak Flats,NA
AU ONS,NA,Onslow,NA
AU OSB,NA,Osborne Island,NA
AU PAG,NA,Paddington,NA
AU DSW,NA,Padstow,NA
AU PMK,NA,Palm Island,NA
AU PAL,NA,Palmerston,NA
AU PEL,NA,Pelican Point,NA
AU PEN,NA,Pendle Hills,NA
AU PER,NA,Perth,NA
AU PIS,NA,Phillip Island,NA
AU PIC,NA,Picton,NA
AU PYT,NA,Pleystowe,NA
AU PHP,NA,Point Henry Pier/Melbourne,NA
AU PSM,NA,Point Samson,NA
AU PWI,NA,Point Wilson,NA
AU PAE,NA,Port Adelaide,NA
AU PTL,NA,Port Alma,NA
AU PAU,NA,Port Arthur,NA
AU PUG,NA,Port Augusta,NA
AU PBY,NA,Port Bonython,NA
AU PBT,NA,Port Botany,NA
AU PCT,NA,Port Curtis,NA
AU PTD,NA,Port Dalrymple,NA
AU PDI,NA,Port Denison,NA
AU PTI,NA,Port Douglas,NA
AU FRY,NA,Port Fairy,NA
AU PGI,NA,Port Giles,NA
AU T3P,NA,Port Hacking,NA
AU PHE,NA,Port Hedland,NA
AU PHU,NA,Port Huon,NA
AU PJK,NA,Port Jackson,NA
AU PKL,NA,Port Kembla,NA
AU PKY,NA,Port Kenny,NA
AU PLA,NA,Port Latta,NA
AU PLO,NA,Port Lincoln,NA
AU PQQ,NA,Port Macquarie,NA
AU POR,NA,Port Melbourne,NA
AU PBN,NA,Port of Brisbane,NA
AU PPI,NA,Port Pirie,NA
AU PSY,NA,Port Stanley,NA
AU PST,NA,Port Stanvac,NA
AU PWL,NA,Port Walcott,NA
AU PWR,NA,Port Warrender,NA
AU PTW,NA,Port Willunga,NA
AU PTJ,NA,Portland,NA
AU PHR,NA,Prahran,NA
AU PRC,NA,Price,NA
AU PRB,NA,Proper Bay,NA
AU PYE,NA,Pyrenees,NA
AU PYR,NA,Pyrmont,NA
AU RAF,NA,Raffles Bay,NA
AU RAB,NA,Rapid Bay,NA
AU REV,NA,Revesby,NA
AU RLL,NA,Reynella,NA
AU RDS,NA,Rhodes,NA
AU RCM,NA,Richmond,NA
AU RDN,NA,Risdon,NA
AU ROB,NA,Robe,NA
AU ROK,NA,Rockhampton,NA
AU RYP,NA,Rocky Point,NA
